domain,email,url,query,category,found_at
"heyseo.net","contact@heyseo.net","https://heyseo.net/es/blog/guia-seo-2025","guía seo 2025","","2026-05-20T17:20:37.900Z"
"linkatomic.com","soporte@linkatomic.com","https://linkatomic.com/es/herramientas-seo-mas-baratas/","herramientas seo baratas","","2026-05-20T17:20:48.543Z"
"nichoseo.com","info@nichoseo.com","https://nichoseo.com/mejores-herramientas-seo/","herramientas seo baratas","","2026-05-20T17:20:50.504Z"
"unavidaonline.com","contacto@unavidaonline.com","https://unavidaonline.com/herramientas-seo/","herramientas seo baratas","","2026-05-20T17:20:52.654Z"
"www.seobility.net","support@seobility.net","https://www.seobility.net/es/seochecker/","seo gratis","","2026-05-20T17:21:16.645Z"
"seigoo.com","info@seigoo.com","https://seigoo.com","seo gratis","","2026-05-20T17:21:19.406Z"
"maxseo.es","hola@maxseo.es","https://maxseo.es/alternativas-gratuitas-semrush-2025/","alternativas semrush","","2026-05-20T17:21:40.480Z"
"www.automatizapyme.com","info@automatizapyme.com","https://www.automatizapyme.com/herramientas-automatizacion","mejores herramientas automatización pequeños negocios","","2026-05-20T17:22:27.576Z"
"www.madridemprende.es","emprendedores@madrid.es","https://www.madridemprende.es/noticias/las-mejores-herramientas-de-automatizacion-para-pequenas-empresas/","mejores herramientas automatización pequeños negocios","","2026-05-20T17:22:36.323Z"
"sistema-erp.es","info@softwareinformatie.nl","https://sistema-erp.es","software automatización barato autónomos","","2026-05-20T17:22:52.080Z"
"automatizayescala.com","contacto@automatizayescala.com","https://automatizayescala.com/blog/herramientas-automatizacion-autonomos-espana-2026/","software automatización barato autónomos","","2026-05-20T17:22:54.172Z"
"www.conversoriaecnae.es","brian@conversoriaecnae.es","https://www.conversoriaecnae.es/herramientas/comparativas/mejores-programas-facturacion-autonomos","software automatización barato autónomos","","2026-05-20T17:22:58.287Z"
"agenciaautomatiza.com","mkt@agenciaautomatiza.com","https://agenciaautomatiza.com/herramientas-de-automatizacion-con-ia-gratis/","herramientas automatización gratis","","2026-05-20T17:23:17.390Z"
"ioniasolutions.es","contacto@ioniasolutions.es","https://ioniasolutions.es/guia-automatizacion-empresarial","guía automatización 2024","","2026-05-20T17:23:46.167Z"
"itcons.app","soporte@itcons.app","https://itcons.app/automatizacion-empresarial-guia-completa-2025","guía automatización 2025","","2026-05-20T17:24:36.380Z"
"www.magileads.com","fkolli@gmail.com","https://www.magileads.com/es/automatizar-la-generacion-de-leads-una-guia-completa/","automatizar leads","","2026-05-20T17:25:02.991Z"
"clicategia.es","hola@clicategia.es","https://clicategia.es/guias/las-20-mejores-herramientas-de-generacion-de-leads-para-captar-cualificar-y-convertir-en-2025/","automatizar leads recomendación","","2026-05-20T17:25:20.117Z"
"www.xataka.com","publicidad@webedia-group.com","https://www.xataka.com/basics/que-zapier-que-flujos-trabajo-puedes-hacer-conectando-aplicaciones-esta-plataforma-cual-su-precio","zapier barato","","2026-05-20T17:25:45.644Z"
"elinsignia.com","contacto@elinsignia.com","https://elinsignia.com/notas/que-es-zapier-que-puede-automatizar-y-cuanto-cuesta-en-2026-2026-04-11/","zapier barato recomendación","","2026-05-20T17:26:11.763Z"
"upnify.com","info@upnify.com","https://upnify.com/es/blog/automatizacion-no-code.html","automatizacion no-code","","2026-05-20T17:26:24.215Z"
"blog.consultoriaweb.cl","francisco@consultoriaweb.cl","https://blog.consultoriaweb.cl/5-plataformas-no-code-para-automatizar-sin-programar/","automatizacion no-code recomendación","","2026-05-20T17:26:50.825Z"
"www.mailerlite.com","info@mailerlite.com","https://www.mailerlite.com/es/blog/best-email-marketing-service-platforms","mejores herramientas email marketing pequeños negocios","","2026-05-20T17:27:11.877Z"
"www.brevo.com","zendesk-box@brevo.com","https://www.brevo.com/es/blog/mejores-herramientas-de-email-marketing/","mejores herramientas email marketing pequeños negocios","","2026-05-20T17:27:16.276Z"
"www.brevo.com","abuse@brevo.com","https://www.brevo.com/es/blog/mejores-herramientas-de-email-marketing/","mejores herramientas email marketing pequeños negocios","","2026-05-20T17:27:16.276Z"
"www.hostinger.com","press@hostinger.com","https://www.hostinger.com/es/tutoriales/mejores-herramientas-de-email-marketing","mejores herramientas email marketing pequeños negocios","","2026-05-20T17:27:35.539Z"
"acumbamail.com","soporte@acumbamail.com","https://acumbamail.com","software email marketing barato autónomos","","2026-05-20T17:27:44.985Z"
"www.comparapps.com","pablo@comparapps.com","https://www.comparapps.com/plataformas-de-email-marketing/","software email marketing barato autónomos","","2026-05-20T17:27:49.592Z"
"www.emailtooltester.com","robert@emailtooltester.com","https://www.emailtooltester.com/es/blog/email-marketing-gratis/","herramientas email marketing gratis","","2026-05-20T17:28:17.683Z"
"www.mdirector.com","info@mdirector.com","https://www.mdirector.com/whitepaper/guia-estrategica-de-email-marketing-2024-paso-a-paso/","guía email marketing 2024","","2026-05-20T17:28:38.682Z"
"billionverify.com","support@billionverify.com","https://billionverify.com/es/blog/email-marketing-ultimate-guide","guía email marketing 2025","","2026-05-20T17:29:03.515Z"
"www.cyberclick.es","info@cyberclick.es","https://www.cyberclick.es/numerical-blog/que-tendencias-en-email-marketing-nos-trae-el-2025-guia-completa","guía email marketing 2025","","2026-05-20T17:29:08.885Z"
"www.cyberclick.es","comunicacion@cyberclick.net","https://www.cyberclick.es/numerical-blog/que-tendencias-en-email-marketing-nos-trae-el-2025-guia-completa","guía email marketing 2025","","2026-05-20T17:29:08.886Z"
"www.wpbeginner.com","support@wpbeginner.com","https://www.wpbeginner.com/es/showcase/best-email-marketing-services/","email marketing barato recomendación","","2026-05-20T17:30:06.068Z"
"edit.org","hello@edit.org","https://edit.org/es/boletines-newsletters","newsletter gratis","","2026-05-20T17:30:39.507Z"
"tajo.io","support@tajo.io","https://tajo.io/es/blog/free-newsletter-platforms/","newsletter gratis recomendación","","2026-05-20T17:30:56.757Z"
"www.magnetia.io","hola@magnetia.io","https://www.magnetia.io/blog/brevo-vs-mailerlite-vs-customer-io","brevo vs mailerlite recomendación","","2026-05-20T17:31:47.976Z"
"www.folk.app","walt@disney.com","https://www.folk.app/es/articles/best-ai-tools-for-small-business","mejores herramientas ia y contenido pequeños negocios","","2026-05-20T17:32:14.869Z"
"www.folk.app","folks@folk.app","https://www.folk.app/es/articles/best-ai-tools-for-small-business","mejores herramientas ia y contenido pequeños negocios","","2026-05-20T17:32:14.869Z"
"conectanex.com","info@conectanex.com","https://conectanex.com/las-7-mejores-herramientas-de-ia-para-autonomos/","software ia y contenido barato autónomos","","2026-05-20T17:32:37.468Z"
"aesia.digital.gob.es","aesia@digital.gob.es","https://aesia.digital.gob.es/es/guias","guía ia y contenido 2024","","2026-05-20T17:33:19.293Z"
"aesia.digital.gob.es","info@aesia.gob.es","https://aesia.digital.gob.es/es/guias","guía ia y contenido 2024","","2026-05-20T17:33:19.293Z"
"datainnovation.io","contact@datainnovation.io","https://datainnovation.io/blog/planificacion-contenido-2025-estrategia-ia/","guía ia y contenido 2025","","2026-05-20T17:33:54.597Z"
"datainnovation.io","hello@datainnovation.io","https://datainnovation.io/blog/planificacion-contenido-2025-estrategia-ia/","guía ia y contenido 2025","","2026-05-20T17:33:54.597Z"
"shortgenius.com","support@shortgenius.com","https://shortgenius.com/es/blog/herramientas-ia-creacion-contenidos","ia para contenido","","2026-05-20T17:34:20.083Z"
"www.algonew.com","marketing@algonew.com","https://www.algonew.com/aplicando-la-ia-para-crear-recomedaciones-personalizadas/","ia para contenido recomendación","","2026-05-20T17:34:48.043Z"
"www.eesel.ai","careers@eesel.ai","https://www.eesel.ai/es/blog/cheap-ai-tools","herramientas ia baratas","","2026-05-20T17:34:58.880Z"
"criptotendencia.com","info@criptotendencia.com","https://criptotendencia.com/2025/07/27/cual-es-el-plan-de-ia-mas-barato-en-2025-comparamos-las-mejores-opciones/","herramientas ia baratas","","2026-05-20T17:35:14.998Z"
"www.kaspr.io","contact@kaspr.io","https://www.kaspr.io/es/blog/herramientas-de-ventas-gratuitas","herramientas funnels y ventas gratis","","2026-05-20T17:37:45.836Z"
"conviertemas.com","hola@conviertemas.com","https://conviertemas.com/herramientas-funnel-de-ventas/","herramientas funnels y ventas gratis","","2026-05-20T17:37:49.811Z"
"conviertemas.com","jose@gmail.com","https://conviertemas.com/herramientas-funnel-de-ventas/","herramientas funnels y ventas gratis","","2026-05-20T17:37:49.811Z"
"www.outbrain.com","ob-press@teads.com","https://www.outbrain.com/blog/es/guia-como-elaborar-una-estrategia-de-marketing-full-funnel-en-2024/","guía funnels y ventas 2024","","2026-05-20T17:38:16.639Z"
"reads.alibaba.com","inboundmarketing@service.alibaba.com","https://reads.alibaba.com/es/creating-a-sales-funnel-in-2024-a-how-to-guide/","guía funnels y ventas 2024","","2026-05-20T17:38:25.638Z"
"wommarketing.es","hola@wommarketing.es","https://wommarketing.es/funnel-de-ventas/","guía funnels y ventas 2024","","2026-05-20T17:38:28.898Z"
"posicionamientoweb.barcelona","hola@posicionamientoweb.barcelona","https://posicionamientoweb.barcelona/funnel-de-ventas-guia-completa-para-convertir-visitantes-en-clientes-2025/","guía funnels y ventas 2025","","2026-05-20T17:38:44.151Z"
"o2d.es","hola@o2d.es","https://o2d.es/como-crear-un-funnel-de-ventas/","guía funnels y ventas 2025","","2026-05-20T17:38:52.828Z"
"funnelquik.com","soporte@funnelquik.es","https://funnelquik.com","funnels baratos","","2026-05-20T17:39:24.936Z"
